time,text,full_name,country,platform
Thu Jan 24 23:59:59 +0000 2019,b'RT @RyanAFournier: Remember these names:\n- Senator Lamar Alexander\n- Senator Susan Collins\n- Senator Corey Gardner\n- Senator Johnny Isakson\xe2\x80\xa6',,,I
Thu Jan 24 23:59:59 +0000 2019,"b'RT @ZcohenCNN: While members of the Coast Guard continue to be deployed during the government shutdown, the service says it will not be abl\xe2\x80\xa6'",,,I
Thu Jan 24 23:59:59 +0000 2019,"b'RT @KamalaHarris: The Republican-controlled Senate passed a clean bill to fund the government back in December. Today, they rejected an alm\xe2\x80\xa6'",,,
Thu Jan 24 23:59:59 +0000 2019,"b'RT @BRRN_Fed: A response to the government shut down from an anarchist and libertarian socialist perspective.  \n\n""While we likely only have\xe2\x80\xa6'",,,A
Thu Jan 24 23:59:58 +0000 2019,"b'RT @KamalaHarris: The Republican-controlled Senate passed a clean bill to fund the government back in December. Today, they rejected an alm\xe2\x80\xa6'",,,
Thu Jan 24 23:59:58 +0000 2019,"b'RT @PeterMoskos: I called my credit card company. Gladys always picks up on the 2nd ring.\n""Credit Card services, Gladys. Hey, Pete!"" Gladys\xe2\x80\xa6'",,,A
Thu Jan 24 23:59:58 +0000 2019,"b'RT @ben_geye: ""Large down payment"" on wall could end govt shutdown, but #SpeakerPelosi dismissed the proposal, &amp; basically indicates it\'s ""\xe2\x80\xa6'",,,A
Thu Jan 24 23:59:58 +0000 2019,"b'RT @KamalaHarris: The Republican-controlled Senate passed a clean bill to fund the government back in December. Today, they rejected an alm\xe2\x80\xa6'",,,I
Thu Jan 24 23:59:58 +0000 2019,b'RT @CNNSitRoom: .@wolfblitzer: Would you vote for a temporary spending bill to reopen government if it included money for a wall?\n\nDem Rep.\xe2\x80\xa6',,,A
Thu Jan 24 23:59:57 +0000 2019,"b'RT @KamalaHarris: The Republican-controlled Senate passed a clean bill to fund the government back in December. Today, they rejected an alm\xe2\x80\xa6'",,,
Thu Jan 24 23:59:57 +0000 2019,b'RT @CNNPolitics: Republicans who voted for Democratic proposal: \n\xe2\x80\xa2 Lamar Alexander\n\xe2\x80\xa2 Susan Collins\n\xe2\x80\xa2 Cory Gardner\n\xe2\x80\xa2 Johnny Isakson\n\xe2\x80\xa2 Lisa M\xe2\x80\xa6',,,I
Thu Jan 24 23:59:57 +0000 2019,"b'RT @IndivisibleNet: The president of the flight attendants union called for a general strike.\n\n""What is the Labor Movement waiting for? Tal\xe2\x80\xa6'",,,I
Thu Jan 24 23:59:57 +0000 2019,"b""RT @EdKrassen: So far 6 Republican Senators have voted in favor of the Democrats' bill to reopen the government.\n\n1 - Romney\n2 - Murkowski\xe2\x80\xa6""",,,I
Thu Jan 24 23:59:57 +0000 2019,b'RT @vicenews: How do you feel about the government shutdown?\n\nGive us a call at 1-888-317-VICE and let us know.',,,A
Thu Jan 24 23:59:57 +0000 2019,"b'RT @Sarah_SKG_1983: A Trump voter, recently told WaPo: \xe2\x80\x9cI was doing fine with him up until this government shutdown.Translation: \xe2\x80\x9cI was tot\xe2\x80\xa6'",,,I
