time,text,full_name,country,platform
Sat Jan 19 23:59:59 +0000 2019,"b'RT @EdKrassen: We are currently in the longest government shutdown ever, and the man who has taken our federal employees hostage actually t\xe2\x80\xa6'",,,A
Sat Jan 19 23:59:59 +0000 2019,b'RT @celldude: @SenSchumer @SenateDems @realDonaldTrump @SenateDems should not let this or any future president shutdown government for a pe\xe2\x80\xa6',,,A
Sat Jan 19 23:59:59 +0000 2019,b'RT @SenBlumenthal: More fake promises raising false hopes\xe2\x80\x94this Trump con will fool few Americans. It is not serious or credible as a dreame\xe2\x80\xa6',,,I
Sat Jan 19 23:59:58 +0000 2019,"b""RT @tedlieu: Dear @realDonaldTrump: You pride yourself on being a great negotiator. You don't need to use a harmful government shutdown as\xe2\x80\xa6""",,,I
Sat Jan 19 23:59:57 +0000 2019,"b""RT @PramilaJayapal: Today's proposal from @realDonaldTrump is not the answer - far from it. We've already voted eight times in the House to\xe2\x80\xa6""",,,
Sat Jan 19 23:59:57 +0000 2019,b'RT @tedlieu: Dear @realDonaldTrump: Thank you for your concessions. Democrats look forward to working with you on a comprehensive immigrati\xe2\x80\xa6',,,I
Sat Jan 19 23:59:57 +0000 2019,"b""RT @marshallfitz: First, and most importantly, Trump needs to open the government while negotiation over these issues continues. Won't happ\xe2\x80\xa6""",,,A
Sat Jan 19 23:59:57 +0000 2019,"b""RT @tedlieu: Dear @realDonaldTrump: You pride yourself on being a great negotiator. You don't need to use a harmful government shutdown as\xe2\x80\xa6""",,,P
Sat Jan 19 23:59:56 +0000 2019,"b""RT @USATODAY: Congressional Democrats said Trump's proposal was inadequate and predicted it wouldn't pass either the House or the Senate. h\xe2\x80\xa6""",,,
Sat Jan 19 23:59:56 +0000 2019,"b""RT @tedlieu: Dear @realDonaldTrump: You pride yourself on being a great negotiator. You don't need to use a harmful government shutdown as\xe2\x80\xa6""",,,P
Sat Jan 19 23:59:56 +0000 2019,"b""RT @atweetingtwit: hi friends, just in case you didn't know: the government shutdown means food stamps are basically going away in February\xe2\x80\xa6""",,,A
Sat Jan 19 23:59:56 +0000 2019,b'RT @phan1om_: lmao the funniest part of this whole incident is... he\xe2\x80\x99s TSA... it\xe2\x80\x99s day 29 of the government shutdown.. nigga u taking time\xe2\x80\xa6',,,I
Sat Jan 19 23:59:56 +0000 2019,b'House passes bill to end US government shutdown without border wall money https://t.co/sjuQ5OQTEg',,,
Sat Jan 19 23:59:55 +0000 2019,b'RT @CherokeeNative3: It\xe2\x80\x99s all political gamesmanship trying to flip public opinion. It won\xe2\x80\x99t work. Trump reversed DACA and TPS &amp; shutdown g\xe2\x80\xa6',,,I
Sat Jan 19 23:59:55 +0000 2019,"b'RT @ernie_plumley: SURPRISE!! Not! \xf0\x9f\x98\xb3In the end, she will be overwhelming completely defeated. It will be a great day for America. Thank God\xe2\x80\xa6'",,,
Sat Jan 19 23:59:55 +0000 2019,b'RT @factsfaraone: @ThePlumLineGS He wants the shutdown . That\xe2\x80\x99s the plan . Commandeer those sections of the government he wants/needs and d\xe2\x80\xa6',,,I
Sat Jan 19 23:59:55 +0000 2019,"b""RT @tedlieu: Dear @realDonaldTrump: You pride yourself on being a great negotiator. You don't need to use a harmful government shutdown as\xe2\x80\xa6""",,,I
Sat Jan 19 23:59:55 +0000 2019,"b""RT @tedlieu: Dear @realDonaldTrump: You pride yourself on being a great negotiator. You don't need to use a harmful government shutdown as\xe2\x80\xa6""",,,A
